Table S1: ITRF2020-PMM rotation pole cartesian components in DEG/My.
--------------------------------------------------------------------
   plate  omega_x   omega_y   omega_z
          -----------DEG/My----------
--------------------------------------------------------------------
   AMUR   -0.0364,   -0.1532,    0.2325,
   ANTA   -0.0746,   -0.0866,    0.1882,
   ARAB    0.3135,   -0.0406,    0.3994,
   AUST    0.4132,    0.3265,    0.3398,
   CARB    0.0576,   -0.3949,    0.2017,
   EURA   -0.0237,   -0.1442,    0.2091,
   INDI    0.3159,    0.0037,    0.4010,
   NAZC   -0.0907,   -0.4336,    0.4459,
   NOAM    0.0126,   -0.1849,   -0.0272,
   NUBI    0.0250,   -0.1625,    0.1991,
   PCFC   -0.1122,    0.2836,   -0.5984,
   SOAM   -0.0725,   -0.0784,   -0.0437,
   SOMA   -0.0225,   -0.1997,    0.2401,

ORB Components (mm/yr):
TX = 0.37
TY = 0.35
TZ = 0.74

